4,552, 483, 69,550, 485, 65,582, 459, 123,595, 448, 147
8,552, 483, 69,549, 484, 65,583, 460, 123,594, 448, 146
12,551, 482, 69,549, 484, 65,582, 458, 124,594, 449, 145
16,551, 481, 70,548, 483, 65,582, 458, 124,594, 448, 146
20,552, 482, 70,549, 485, 64,581, 458, 123,593, 448, 145
24,552, 483, 69,549, 485, 64,582, 459, 123,595, 449, 146
28,552, 482, 70,549, 485, 64,582, 458, 124,595, 449, 146
32,551, 482, 69,549, 484, 65,582, 459, 123,594, 448, 146
36,551, 481, 70,548, 484, 64,582, 458, 124,594, 447, 147
40,551, 483, 68,549, 485, 64,581, 458, 123,594, 449, 145
44,552, 483, 69,549, 485, 64,583, 459, 124,595, 449, 146
48,552, 482, 70,549, 484, 65,582, 458, 124,594, 449, 145
52,551, 482, 69,549, 484, 65,582, 458, 124,594, 448, 146
56,550, 482, 68,548, 484, 64,581, 458, 123,593, 448, 145
60,552, 483, 69,550, 485, 65,582, 458, 124,594, 449, 145
64,552, 483, 69,549, 484, 65,583, 459, 124,595, 449, 146
68,551, 482, 69,549, 484, 65,582, 458, 124,594, 448, 146
72,552, 482, 70,549, 484, 65,582, 458, 124,594, 448, 146
76,551, 482, 69,549, 484, 65,581, 457, 124,593, 448, 145
80,552, 483, 69,550, 485, 65,582, 459, 123,595, 449, 146
84,552, 483, 69,549, 484, 65,583, 458, 125,594, 449, 145
88,552, 482, 70,549, 484, 65,582, 458, 124,594, 448, 146
92,551, 481, 70,548, 483, 65,582, 458, 124,594, 448, 146
96,552, 482, 70,549, 485, 64,581, 458, 123,593, 448, 145
100,552, 483, 69,550, 485, 65,582, 459, 123,595, 449, 146
104,552, 482, 70,549, 484, 65,582, 458, 124,594, 449, 145
108,551, 482, 69,549, 484, 65,582, 458, 124,594, 449, 145
112,551, 481, 70,548, 484, 64,582, 458, 124,593, 447, 146
116,552, 483, 69,550, 485, 65,581, 458, 123,594, 448, 146
120,552, 482, 70,549, 484, 65,583, 459, 124,595, 449, 146
124,552, 483, 69,549, 484, 65,582, 458, 124,594, 449, 145
128,551, 482, 69,549, 484, 65,581, 459, 122,594, 448, 146
132,551, 481, 70,548, 484, 64,581, 458, 123,593, 447, 146
136,552, 483, 69,550, 485, 65,582, 458, 124,595, 449, 146
140,552, 482, 70,550, 484, 66,583, 459, 124,595, 448, 147
144,551, 482, 69,549, 484, 65,582, 458, 124,594, 449, 145
148,551, 482, 69,548, 484, 64,582, 458, 124,594, 448, 146
152,551, 482, 69,549, 484, 65,581, 457, 124,593, 448, 145
156,552, 483, 69,550, 485, 65,582, 459, 123,595, 449, 146
160,551, 482, 69,549, 484, 65,583, 458, 125,594, 448, 146
164,551, 482, 69,549, 484, 65,582, 458, 124,594, 448, 146
168,550, 481, 69,548, 483, 65,582, 458, 124,594, 448, 146
172,551, 482, 69,549, 485, 64,581, 458, 123,593, 448, 145
176,552, 483, 69,550, 484, 66,582, 459, 123,595, 449, 146
180,551, 482, 69,549, 484, 65,582, 458, 124,594, 449, 145
184,551, 482, 69,549, 484, 65,582, 459, 123,594, 448, 146
188,551, 481, 70,548, 484, 64,581, 457, 124,593, 447, 146
192,552, 483, 69,550, 485, 65,581, 458, 123,594, 449, 145
196,552, 482, 70,549, 484, 65,582, 459, 123,595, 449, 146
